date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2018-03-26,0.3802,0.1964,down,15,1.1503,0.9764,56.0,falla,falla,falla,44.0
2018-03-28,0.9705,0.1972,down,15,1.0189,0.4403,6.0,neutro,falla,falla,79.0
2018-03-29,0.6479,0.8433,up,17,0.7127,0.8007,49.0,neutro,neutro,continuacion,122.0
2018-04-03,0.4979,0.2555,down,20,1.0677,1.2981,67.0,falla,falla,falla,10.0
2018-04-04,1.0003,0.8313,up,40,0.904,0.4493,56.0,continuacion,continuacion,continuacion,10.0
2018-04-05,0.5483,0.16,down,15,1.4667,0.2614,7.0,continuacion,continuacion,continuacion,34.0
2018-04-11,0.4558,0.563,up,29,0.7552,0.4047,55.0,continuacion,continuacion,continuacion,59.0
2018-04-12,0.5032,0.9988,up,15,0.6138,0.4507,61.0,neutro,neutro,continuacion,293.0
2018-04-16,0.4641,0.3329,down,20,0.8273,0.2163,88.0,falla,falla,falla,55.0
2018-04-17,0.4033,0.9395,up,15,0.6159,0.2127,44.0,continuacion,continuacion,continuacion,6.0
2018-04-18,0.3444,0.0893,down,16,1.2389,0.3076,34.0,falla,falla,falla,41.0
2018-04-19,0.3269,0.0759,down,15,0.6819,0.3148,99.0,continuacion,continuacion,continuacion,34.0
2018-04-20,0.4952,0.0247,down,15,0.6965,0.2686,33.0,continuacion,continuacion,continuacion,32.0
2018-04-23,0.3876,0.1429,down,15,0.6811,0.3193,14.0,falla,falla,falla,50.0
2018-04-25,1.1084,0.0804,down,15,0.8063,0.3884,20.0,falla,falla,falla,57.0
2018-04-26,0.512,0.6841,up,33,0.8288,0.423,19.0,continuacion,continuacion,continuacion,16.0
2018-04-30,0.4072,0.7716,up,15,0.8835,0.2883,34.0,neutro,falla,falla,74.0
2018-05-01,0.4184,0.0731,up,21,0.6149,0.2052,9.0,continuacion,continuacion,continuacion,14.0
2018-05-03,0.4425,0.1972,up,21,0.8803,0.2854,10.0,falla,falla,falla,20.0
2018-05-08,0.3808,0.0476,down,15,1.0767,0.2061,12.0,neutro,falla,falla,78.0
2018-05-14,0.3651,0.9839,up,43,1.0973,0.2112,38.0,neutro,neutro,falla,144.0
2018-05-15,0.6032,0.2168,down,19,0.8327,0.2156,14.0,neutro,neutro,continuacion,235.0
2018-05-16,0.2089,0.114,up,17,1.1028,0.3558,76.0,neutro,continuacion,continuacion,62.0
2018-05-21,0.4624,0.9372,down,104,0.7404,0.6106,115.0,neutro,neutro,neutro,
2018-05-22,0.2076,0.2023,down,15,1.0946,0.2064,23.0,continuacion,continuacion,continuacion,5.0
2018-05-23,0.3955,0.8182,up,16,0.733,0.3158,45.0,neutro,continuacion,continuacion,76.0
2018-05-29,0.4153,0.8557,up,15,0.7389,0.3775,37.0,neutro,falla,falla,83.0
2018-05-31,0.3824,0.3985,down,78,0.6945,0.2006,5.0,falla,falla,falla,45.0
2018-06-06,0.1996,0.4871,down,27,0.9456,0.4181,63.0,falla,falla,falla,31.0
2018-06-08,0.2543,0.5692,up,16,1.1336,0.2128,105.0,continuacion,continuacion,continuacion,52.0
2018-06-14,0.3689,0.6912,up,31,0.9097,0.271,34.0,neutro,continuacion,continuacion,65.0
2018-06-22,0.5818,0.049,down,16,0.9013,0.3645,74.0,neutro,neutro,neutro,
2018-06-27,0.3021,0.4818,up,18,0.7526,0.3295,66.0,falla,falla,falla,12.0
2018-07-02,0.5004,0.742,up,17,0.9754,0.3173,27.0,continuacion,continuacion,continuacion,11.0
2018-07-05,0.2967,0.8824,down,29,0.7851,0.5009,86.0,falla,falla,falla,38.0
2018-07-11,0.4835,0.5871,up,31,0.7729,0.2321,44.0,neutro,neutro,neutro,
2018-07-13,0.1622,0.1409,down,15,0.9506,0.2397,19.0,falla,falla,falla,22.0
2018-07-16,0.2178,0.665,down,15,1.5112,0.2111,96.0,neutro,neutro,continuacion,199.0
2018-07-18,0.3839,0.2754,down,25,0.5302,0.2114,44.0,neutro,neutro,neutro,
2018-07-20,0.2398,0.5093,up,30,0.9324,0.2393,64.0,neutro,falla,falla,68.0
2018-07-26,0.3385,0.5082,down,16,0.7782,0.2386,12.0,neutro,falla,falla,83.0
2018-07-27,0.5603,0.2762,down,27,0.9435,0.35,24.0,continuacion,continuacion,continuacion,20.0
2018-07-30,1.1325,0.0,down,15,1.1931,0.2225,11.0,neutro,continuacion,continuacion,68.0
2018-07-31,0.6376,0.4902,down,22,1.0722,0.4953,43.0,neutro,falla,falla,85.0
2018-08-01,0.4138,0.8904,up,17,0.769,0.2823,68.0,neutro,falla,falla,90.0
2018-08-06,0.2231,0.3516,up,21,0.6625,0.2609,31.0,neutro,continuacion,continuacion,108.0
2018-08-13,0.2993,0.7967,up,22,0.7214,0.3917,79.0,falla,falla,falla,21.0
