date,or_duration_min,or_size_pct,or_close_position,breakout_dir,breakout_minute,breakout_strength,vol_ratio,mfe_pre_retest_pct,mins_to_retest,retest_speed,retest_depth_pct,outcome,mfe_post_pct,continuation_ratio,mins_to_continuation,mae_falla_pct,mins_to_falla
2021-05-04,120,2.0887,0.1231,down,132,0.019,0.9414,0.2568,18.0,0.014269,-0.5709,neutro,,,,,
2021-05-05,5,0.2739,0.4055,down,5,0.4736,1.1444,0.7107,68.0,0.010451,-17.5824,neutro,,,,,
2021-05-05,10,0.4435,0.0619,down,27,0.0204,1.0335,0.5427,37.0,0.014669,-6.7301,neutro,,,,,
2021-05-05,15,0.4435,0.6397,down,27,0.0204,1.0706,0.5427,37.0,0.014669,-6.7301,neutro,,,,,
2021-05-05,20,0.4435,0.3467,down,27,0.0204,1.0498,0.5427,37.0,0.014669,-6.7301,neutro,,,,,
2021-05-05,25,0.4435,0.2454,down,27,0.0204,1.0479,0.5427,37.0,0.014669,-6.7301,neutro,,,,,
2021-05-05,30,0.5466,0.0828,down,30,0.2314,1.1397,0.4407,29.0,0.015196,-3.81,neutro,,,,,
2021-05-06,5,0.4126,0.0074,down,5,-0.2598,1.0781,0.3054,49.0,0.006233,-6.5877,falla,,,,0.4276,17.0
2021-05-06,15,0.6294,0.5733,down,30,-0.1262,0.9947,0.2567,24.0,0.010694,3.4466,neutro,,,,,
2021-05-06,20,0.6294,0.5782,down,30,-0.1262,0.9748,0.2567,24.0,0.010694,3.4466,neutro,,,,,
2021-05-06,25,0.6294,0.4471,down,30,-0.1262,0.9657,0.2567,24.0,0.010694,3.4466,neutro,,,,,
2021-05-06,30,0.6294,0.049,down,30,-0.1262,0.9606,0.2567,24.0,0.010694,3.4466,neutro,,,,,
2021-05-07,5,0.4443,0.1892,up,7,0.1277,1.0596,0.2209,14.0,0.015777,-5.3378,continuacion,0.2301,1.0419,16.0,,
2021-05-07,10,0.5704,0.5732,up,19,0.0579,1.0916,0.4955,68.0,0.007287,-6.8421,neutro,,,,,
2021-05-07,15,0.5704,0.5211,up,19,0.0579,1.1026,0.4955,68.0,0.007287,-6.8421,neutro,,,,,
2021-05-07,20,0.6572,0.9182,up,20,-0.1553,1.0277,0.4089,58.0,0.00705,-3.1978,neutro,,,,,
2021-05-07,25,0.6662,0.5949,up,37,0.005,0.7814,0.3999,40.0,0.009998,-6.3091,neutro,,,,,
2021-05-07,30,0.6662,0.653,up,37,0.005,0.8013,0.3999,40.0,0.009998,-6.3091,neutro,,,,,
2021-05-07,35,0.6662,0.8558,up,37,0.005,0.8064,0.3999,40.0,0.009998,-6.3091,neutro,,,,,
2021-05-07,40,0.7596,0.968,up,40,0.0115,0.8132,0.3069,18.0,0.01705,-5.4941,neutro,,,,,
2021-05-07,45,0.8406,0.95,up,45,-0.0575,0.7598,0.2263,10.0,0.022627,-3.9286,neutro,,,,,
2021-05-10,10,0.8118,0.0746,down,10,0.0332,0.9948,0.2422,17.0,0.014249,-4.8116,continuacion,0.2998,1.2375,4.0,,
2021-05-10,15,0.894,0.1319,down,23,0.0817,0.8941,0.2458,16.0,0.01536,-5.4237,continuacion,0.3003,1.2219,21.0,,
2021-05-10,20,0.894,0.2132,down,23,0.0817,0.9223,0.2458,16.0,0.01536,-5.4237,continuacion,0.3003,1.2219,21.0,,
2021-05-10,25,1.0256,0.0263,down,25,-0.0707,0.9685,0.4615,120.0,0.003846,-3.5503,neutro,,,,,
2021-05-10,30,1.0566,0.1465,down,31,-0.0147,1.0831,0.431,103.0,0.004185,-3.4186,neutro,,,,,
2021-05-10,35,1.1272,0.135,down,36,0.0024,1.0013,0.3615,74.0,0.004885,-1.8863,neutro,,,,,
2021-05-10,40,1.1425,0.1119,down,60,0.0183,1.0104,0.3463,50.0,0.006926,-0.5318,neutro,,,,,
2021-05-10,45,1.1425,0.2396,down,60,0.0183,1.0223,0.3463,50.0,0.006926,-0.5318,neutro,,,,,
2021-05-10,50,1.1425,0.2845,down,60,0.0183,1.0331,0.3463,50.0,0.006926,-0.5318,neutro,,,,,
2021-05-10,55,1.1425,0.1595,down,60,0.0183,1.043,0.3463,50.0,0.006926,-0.5318,neutro,,,,,
2021-05-10,60,1.1425,0.0798,down,60,0.0183,1.0587,0.3463,50.0,0.006926,-0.5318,neutro,,,,,
2021-05-10,65,1.1979,0.0206,down,75,0.0124,1.0122,0.2918,34.0,0.008582,-3.2733,neutro,,,,,
2021-05-10,70,1.1979,0.1829,down,75,0.0124,1.0232,0.2918,34.0,0.008582,-3.2733,neutro,,,,,
2021-05-10,75,1.1979,0.0964,down,75,0.0124,1.0383,0.2918,34.0,0.008582,-3.2733,neutro,,,,,
2021-05-11,5,0.4141,0.4247,up,5,0.3172,1.0779,0.2123,2.0,0.106138,1.5897,continuacion,0.2591,1.2206,1.0,,
2021-05-11,10,0.6743,0.8926,up,10,0.139,0.9255,0.8095,46.0,0.017599,-0.4649,continuacion,0.822,1.0154,56.0,,
2021-05-11,15,1.0818,0.9302,up,21,-0.0061,0.8838,0.4031,16.0,0.025196,-4.6074,neutro,,,,,
2021-05-11,20,1.0818,0.7363,up,21,-0.0061,0.9137,0.4031,16.0,0.025196,-4.6074,neutro,,,,,
2021-05-11,25,1.1724,0.9545,up,27,0.0695,0.8721,0.2637,4.0,0.065917,-3.2353,continuacion,0.3132,1.188,2.0,,
2021-05-11,30,1.4328,0.9954,up,30,-0.0987,0.9849,0.4048,104.0,0.003893,-1.3126,continuacion,0.4509,1.1137,17.0,,
2021-05-11,35,1.4893,0.8714,up,112,-0.0105,0.7639,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,40,1.4893,0.7306,up,112,-0.0105,0.7642,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,45,1.4893,0.7409,up,112,-0.0105,0.7667,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,50,1.4893,0.7956,up,112,-0.0105,0.7627,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,55,1.4893,0.5999,up,112,-0.0105,0.7571,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,60,1.4893,0.4338,up,112,-0.0105,0.7521,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,65,1.4893,0.3599,up,112,-0.0105,0.7472,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,70,1.4893,0.3033,up,112,-0.0105,0.7456,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,75,1.4893,0.4315,up,112,-0.0105,0.745,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,80,1.4893,0.5683,up,112,-0.0105,0.7439,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,85,1.4893,0.6106,up,112,-0.0105,0.7475,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,90,1.4893,0.6569,up,112,-0.0105,0.7543,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,95,1.4893,0.4652,up,112,-0.0105,0.76,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,100,1.4893,0.4631,up,112,-0.0105,0.7627,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,105,1.4893,0.7074,up,112,-0.0105,0.7651,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,110,1.4893,0.964,up,112,-0.0105,0.7684,0.349,22.0,0.015864,2.5258,continuacion,0.395,1.1319,17.0,,
2021-05-11,115,1.5234,0.9918,up,115,0.0556,0.6985,0.3152,18.0,0.017514,-1.2346,continuacion,0.3612,1.1459,18.0,,
2021-05-12,5,0.522,0.7305,up,5,-0.1737,0.9812,0.2052,3.0,0.068406,1.8563,continuacion,0.2612,1.2727,8.0,,
2021-05-12,20,0.8314,0.7741,down,32,-0.0635,0.9107,0.2879,36.0,0.007996,-3.0075,continuacion,0.3629,1.2606,3.0,,
2021-05-12,25,0.8314,0.4662,down,32,-0.0635,0.9218,0.2879,36.0,0.007996,-3.0075,continuacion,0.3629,1.2606,3.0,,
2021-05-12,30,0.8314,0.3308,down,32,-0.0635,0.9367,0.2879,36.0,0.007996,-3.0075,continuacion,0.3629,1.2606,3.0,,
2021-05-12,35,0.8692,0.1471,down,42,0.0076,0.9567,0.2505,26.0,0.009633,1.4388,continuacion,0.3255,1.2996,3.0,,
2021-05-12,40,0.8692,0.3561,down,42,0.0076,0.9703,0.2505,26.0,0.009633,1.4388,continuacion,0.3255,1.2996,3.0,,
2021-05-12,45,0.9137,0.089,down,46,-0.0274,0.9046,0.2065,22.0,0.009385,6.1965,continuacion,0.2815,1.3636,3.0,,
2021-05-12,50,0.9706,0.1422,down,60,-0.01,1.098,0.5099,43.0,0.011857,-3.1925,continuacion,0.5258,1.0313,25.0,,
2021-05-12,55,0.9706,0.2644,down,60,-0.01,1.1115,0.5099,43.0,0.011857,-3.1925,continuacion,0.5258,1.0313,25.0,,
2021-05-12,60,0.9706,0.0193,down,60,-0.01,1.1178,0.5099,43.0,0.011857,-3.1925,continuacion,0.5258,1.0313,25.0,,
2021-05-12,65,1.0972,0.0146,down,66,0.0,0.8855,0.2444,11.0,0.022222,-0.2571,continuacion,0.257,1.0513,3.0,,
2021-05-12,70,1.1225,0.1231,down,71,0.0559,0.946,0.2194,4.0,0.054856,-3.6303,continuacion,0.232,1.0571,5.0,,
2021-05-12,85,1.4277,0.0156,down,85,0.033,0.8372,0.4905,90.0,0.00545,-0.4184,neutro,,,,,
2021-05-12,90,1.488,0.1224,down,128,-0.0188,0.6981,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,95,1.488,0.2049,down,128,-0.0188,0.7037,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,100,1.488,0.2558,down,128,-0.0188,0.7122,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,105,1.488,0.3319,down,128,-0.0188,0.7227,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,110,1.488,0.3634,down,128,-0.0188,0.7339,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,115,1.488,0.2643,down,128,-0.0188,0.7447,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
2021-05-12,120,1.488,0.1776,down,128,-0.0188,0.7512,0.2394,29.0,0.008255,-2.9598,continuacion,0.2897,1.2102,4.0,,
